code,network,name,latitude,longitude,elevation,created_at
AAFM,IA,AlorSelatan,-8.2734,124.7237,,2025-02-06 11:35:03
AAI,IA,Ambon,-3.6871,128.1943,,2025-02-06 11:35:03
AAII,IA,Ambon,-3.6871,128.194,,2025-02-06 11:35:03
ABJI,IA,AsemBagus,-7.7956,114.234,,2025-02-06 11:35:03
ABSM,IA,Argamakmur,-3.4254,102.262,,2025-02-06 11:35:03
ACBM,IA,Ayyu,-7.029754,107.682833,,2025-02-06 11:35:03
ACJM,IA,Astanajapura,-6.8033,108.6151,,2025-02-06 11:35:03
ALKI,IA,Alor,-8.1445,124.5903,,2025-02-06 11:35:03
ALTI,IA,AlorTimur,-8.2904,125.1262,,2025-02-06 11:35:03
AMPM,IA,Aifat,-1.2675,132.4918,,2025-02-06 11:35:03
ANAPI,IA,Anggi,-1.323,133.912,,2025-02-06 11:35:03
APSI,IA,Ampana,-0.9108,121.6487,,2025-02-06 11:35:03
APSSI,IA,Air Periukan,-3.932,102.465,,2025-02-06 11:35:03
ARKPI,IA,Arso4,-2.783,140.592,,2025-02-06 11:35:03
ARMI,IA,Aru,-5.7749,134.2190,,2025-02-06 11:35:03
ARPI,IA,Arso,-2.9014,140.7561,,2025-02-06 11:35:03
ARSKI,IA,Arjasa,-6.85843,115.286,,2025-02-06 11:35:03
ASTTI,IA,AmanubanSelatan,-10.068,124.299,,2025-02-06 11:35:03
ATKTI,IA,AmfoangTimur,-9.425,124.090,,2025-02-06 11:35:03
ATNI,IA,Atambua,-9.0835,124.8644,,2025-02-06 11:35:03
BAJI,IA,Socah,-7.09057,112.70853,,2025-02-06 11:35:03
BAKI,IA,Biak,-1.1915,136.107,,2025-02-06 11:35:03
BAPJI,IA,Badegan,-7.912,111.305,,2025-02-06 11:35:03
BASAI,IA,PulauBanyakBarat,2.307,97.407,,2025-02-06 11:35:03
BASI,IA,Baing,-10.2189,120.5777,,2025-02-06 11:35:03
BATI,IA,Baumata,-10.2065,123.6633,,2025-02-06 11:35:03
BATPI,IA,Babo,-2.5427,133.4455,,2025-02-06 11:35:03
BBBCM,IA,BontoBahari,-5.5772,120.4481,,2025-02-06 11:35:03
BBCI,IA,Biau,1.15803,121.436,,2025-02-06 11:35:03
BBCM,IA,Bontocani,-5.0392,120.058,,2025-02-06 11:35:03
BBJI,IA,Bungbulang,-7.5557,107.815,,2025-02-06 11:35:03
BBJM,IA,Bubulan,-7.326,111.8099,,2025-02-06 11:35:03
BBLSI,IA,Banggai-Tengah,-1.637539,123.52168,,2025-02-06 11:35:03
BBSI,IA,BauBau,-5.4885,122.5695,,2025-02-06 11:35:03
BDBI,IA,Badung,-8.520029,115.208717,,2025-02-06 11:35:03
BDCM,IA,BanawaSelatan,-0.873,119.5867,,2025-02-06 11:35:03
BDMUI,IA,PulauBatangDua,1.322,126.362,,2025-02-06 11:35:03
